name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Toronto,Ontario,CA",2023-11-01,5,0,2.4,0.7,-5.5,-1.8,-4.7,60.4,0,0,0,,0,0,40.7,31.3,312.1,1021.4,33.7,14.8,28.3,2.4,3,10,2023-11-01T07:53:04,2023-11-01T18:08:36,0.62,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto,Ontario,CA",2023-11-02,8.7,3,6.1,4.7,-1.7,1.8,-1.9,56.6,0,0,0,,0,0,40.7,34.4,230.2,1026,78.7,14.9,33.7,3,1,10,2023-11-02T07:54:22,2023-11-02T18:07:16,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto,Ontario,CA",2023-11-03,13.6,8.4,10.8,13.6,4.8,9.2,2.4,56.8,0,0,0,,0,0,51.8,45.8,214.6,1020,47.9,14.9,31.8,2.6,3,10,2023-11-03T07:55:41,2023-11-03T18:05:57,0.69,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto,Ontario,CA",2023-11-04,12.4,7.6,9.9,12.4,6.3,9.1,5.3,74.4,1.193,100,20.83,rain,0,0,51.8,33.5,259.1,1020.3,92.4,14.8,29.4,2.5,3,10,2023-11-04T07:57:00,2023-11-04T18:04:40,0.72,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto,Ontario,CA",2023-11-05,9.6,4.5,7.5,8.3,0.2,5.5,1.5,65.9,0,0,0,,0,0,22.3,23.8,344.4,1020.5,55.2,14.9,23.2,2.1,2,10,2023-11-05T06:58:18,2023-11-05T17:03:24,0.75,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto,Ontario,CA",2023-11-06,11.8,8.1,9.8,11.8,5.7,8.5,5.2,73.2,4.501,100,16.67,rain,0,0.1,38.9,24.1,147.9,1011.8,86.5,15.2,18.1,1.7,1,10,2023-11-06T06:59:37,2023-11-06T17:02:10,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto,Ontario,CA",2023-11-07,12.3,1.2,8,12.3,-4.7,5.4,3.5,73.9,0.029,100,4.17,rain,0,0,53.6,35.3,308.7,1009.9,59.3,14.9,26.6,2.3,2,10,2023-11-07T07:00:56,2023-11-07T17:00:58,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto,Ontario,CA",2023-11-08,4.5,-1,1.2,-2,-6.5,-4.2,-4.1,68.8,8.293,100,37.5,"rain,snow",0,0,44.5,49,58.9,1019.7,66.6,14.8,15,1.2,1,10,2023-11-08T07:02:15,2023-11-08T16:59:47,0.85,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto,Ontario,CA",2023-11-09,10.7,4.4,7.2,10.7,-1.8,4,2.4,73.5,6.66,100,16.67,rain,0,0,61.2,49,245.1,1009.5,62.9,14.4,21,1.9,1,10,2023-11-09T07:03:34,2023-11-09T16:58:38,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto,Ontario,CA",2023-11-10,11,3.7,7.2,11,0,4.4,-1.3,55.7,0,0,0,,0,0,48.2,33.2,271.4,1017.8,40,14.9,41.4,3.6,5,10,2023-11-10T07:04:53,2023-11-10T16:57:31,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto,Ontario,CA",2023-11-11,5.8,1.9,3.4,2.6,-1.3,0.5,-2,68.1,0,0,0,,0,0,31.3,22.2,17.2,1029.6,56.8,14.7,23.4,2,1,10,2023-11-11T07:06:12,2023-11-11T16:56:26,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto,Ontario,CA",2023-11-12,4.1,0.1,2.7,1.5,-4,-0.8,-3.2,65.1,0,0,0,,0,0,24.1,18,73.3,1032.9,41.6,14.9,27.2,2.2,3,10,2023-11-12T07:07:30,2023-11-12T16:55:22,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto,Ontario,CA",2023-11-13,13.3,4.1,8,13.3,1,6.2,0.9,62.5,0,0,0,,0,0,48.2,36.8,290.4,1021.8,43.5,14.9,22.3,1.9,3,10,2023-11-13T07:08:49,2023-11-13T16:54:21,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto,Ontario,CA",2023-11-14,8.6,6,6.8,7.2,2.1,4.4,0.2,63.4,0,0,0,,0,0,42.5,27.8,265.3,1027.6,40.9,15.3,19,1.6,1,10,2023-11-14T07:10:07,2023-11-14T16:53:21,0.05,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto,Ontario,CA",2023-11-15,12.5,3.6,7.8,12.5,1.6,6.8,3,72.7,0,0,0,,0,0,37.1,22.1,237.4,1022.5,16.2,14.8,27.6,2.3,1,10,2023-11-15T07:11:25,2023-11-15T16:52:23,0.08,Clear,Clear conditions throughout the day.,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto,Ontario,CA",2023-11-16,11.2,4.4,8,11.2,3.1,7.2,2.6,69.7,0,0,0,,0,0,25.9,23.5,75.8,1019.8,22.7,12.5,24.9,2.2,2,10,2023-11-16T07:12:43,2023-11-16T16:51:28,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto,Ontario,CA",2023-11-17,12.4,3.2,9.2,12.4,-0.7,7.6,3.9,70.4,0.56,100,16.67,rain,0,0,50,29.4,294.6,1009.3,70.8,14.6,11.3,0.9,1,10,2023-11-17T07:14:01,2023-11-17T16:50:34,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
